Gene,Z-Score
Gene_151,-1.974019268
Gene_152,-2.049684235
Gene_153,1.657428559
Gene_154,-0.239603088
Gene_155,0.089457147
Gene_156,-1.068470755
Gene_157,0.04433176
Gene_158,1.36887544
Gene_159,0.496424351
Gene_160,0.192744366
Gene_161,-1.769997943
Gene_162,0.742692444
Gene_163,0.009586885
Gene_164,-0.60799655
Gene_165,0.642508506
Gene_166,-0.847855867
Gene_167,0.560773275
Gene_168,1.216885874
Gene_169,0.154214458
Gene_170,-0.423994594
Gene_171,-0.572151471
Gene_172,0.382685344
Gene_173,-0.432028559
Gene_174,2.366489903
Gene_175,-1.415116269
Gene_176,-0.129762134
Gene_177,0.272571379
Gene_178,0.153517315
Gene_179,-0.560753393
Gene_180,1.232262543
Gene_181,0.666852901
Gene_182,0.739786913
Gene_183,-0.667925736
Gene_184,-0.402737436
Gene_185,0.48824952
Gene_186,-1.100505407
Gene_187,0.665566002
Gene_188,-0.100950495
Gene_189,1.064595614
Gene_190,-0.427619564
Gene_191,1.81417739
Gene_192,0.410503053
Gene_193,0.52043199
Gene_194,-0.692571309
Gene_195,0.25334031
Gene_196,-0.549233132
Gene_197,-1.540350032
Gene_198,-0.195654078
Gene_199,1.16281732
Gene_200,-0.064120299
Gene_201,-0.294144797
Gene_202,-0.307417307
Gene_203,2.241582948
Gene_204,0.608422176
Gene_205,-1.590005942
Gene_206,-0.543145618
Gene_207,-0.400817242
Gene_208,-0.721207068
Gene_209,0.064356649
Gene_210,-0.573894195
Gene_211,-0.512753578
Gene_212,0.153518724
Gene_213,-1.540722188
Gene_214,-2.151071149
Gene_215,1.242821898
Gene_216,0.837228701
Gene_217,0.368892288
Gene_218,0.304668355
Gene_219,-0.189252568
Gene_220,3.01596622
Gene_221,0.192954469
Gene_222,2.608096448
Gene_223,2.062807321
Gene_224,0.46165054
Gene_225,-0.209988875
Gene_226,0.016011444
Gene_227,-0.400827108
Gene_228,0.461001922
Gene_229,0.673794815
Gene_230,-1.224189011
Gene_231,2.614466316
Gene_232,-0.780982525
Gene_233,-2.686320086
Gene_234,-0.081797777
Gene_235,-1.148440712
Gene_236,-0.053428092
Gene_237,0.070925136
Gene_238,0.445281482
Gene_239,1.005854946
Gene_240,-1.007474731
Gene_241,-0.36333593
Gene_242,0.678546737
Gene_243,-0.657413253
Gene_244,-1.877395961
Gene_245,0.619393609
Gene_246,-0.56525332
Gene_247,-0.631812453
Gene_248,0.120065948
Gene_249,0.004138284
Gene_250,0.997219614
Gene_251,-1.249055141
Gene_252,2.262153439
Gene_253,-1.414140975
Gene_254,-0.387749145
Gene_255,-0.868523692
Gene_256,0.055540243
Gene_257,0.018774125
Gene_258,0.166367095
Gene_259,0.261330085
Gene_260,1.306396941
Gene_261,0.156641609
Gene_262,1.388360291
Gene_263,-1.750397153
Gene_264,-2.184339603
Gene_265,0.127035515
Gene_266,0.326996118
Gene_267,-0.533858532
Gene_268,-0.010137473
Gene_269,1.075329111
Gene_270,0.670346577
Gene_271,-0.329964442
Gene_272,0.19786958
Gene_273,0.758883895
Gene_274,-1.229547795
Gene_275,-0.804983876
Gene_276,0.923354283
Gene_277,-1.729665336
Gene_278,-1.090347197
Gene_279,-1.21336645
Gene_280,0.917837793
Gene_281,-1.084835836
Gene_282,0.791892832
Gene_283,-0.353318926
Gene_284,1.778705484
Gene_285,0.128326287
Gene_286,1.066941711
Gene_287,0.460359028
Gene_288,-0.450831696
Gene_289,-0.012544993
Gene_290,0.008378334
Gene_291,-0.461849925
Gene_292,0.887907829
Gene_293,2.510606562
Gene_294,0.115853114
Gene_295,0.716611203
Gene_296,0.528803491
Gene_297,-2.610054364
Gene_298,0.491567662
Gene_299,0.441522075
Gene_300,-1.248586027
Gene_301,-1.788509258
Gene_302,0.427148696
Gene_303,1.645286343
Gene_304,-0.369331529
Gene_305,-0.331665219
Gene_306,2.308309574
Gene_307,0.89598888
Gene_308,-1.214265987
Gene_309,-0.713004336
Gene_310,2.17927811
Gene_311,-0.663031899
Gene_312,-0.53323398
Gene_313,0.670636685
Gene_314,-0.263520121
Gene_315,0.443425655
Gene_316,0.287876561
Gene_317,-0.145141326
Gene_318,1.209347598
Gene_319,-1.275278867
Gene_320,0.117497051
Gene_321,-0.580236018
Gene_322,1.641973765
Gene_323,-0.174454286
Gene_324,1.922599689
Gene_325,-0.421750631
Gene_326,0.109143617
Gene_327,1.088104803
Gene_328,-0.955566296
Gene_329,1.509098998
Gene_330,0.026117006
Gene_331,0.411560828
Gene_332,0.546020518
Gene_333,-0.076054899
Gene_334,-0.809798115
Gene_335,0.094231547
Gene_336,-2.01130321
Gene_337,-1.310680144
Gene_338,-0.140102709
Gene_339,1.547352105
Gene_340,1.517075957
Gene_341,0.979466234
Gene_342,-1.539058076
Gene_343,0.30076282
Gene_344,-0.860605278
Gene_345,-0.067210097
Gene_346,0.954503288
Gene_347,0.657882254
Gene_348,1.283180188
Gene_349,-1.40922213
Gene_350,-1.022825807
Gene_351,1.506434754
Gene_352,1.521785297
Gene_353,-0.016183191
Gene_354,-0.023367603
Gene_355,1.172810443
Gene_356,0.532131414
Gene_357,0.606336078
Gene_358,-0.924815283
Gene_359,1.149361032
Gene_360,-0.199660766
Gene_361,-1.392355365
Gene_362,-0.781344865
Gene_363,-0.597080338
Gene_364,1.478015141
Gene_365,-0.696631943
Gene_366,0.384689417
Gene_367,-2.110253992
Gene_368,0.936804238
Gene_369,-0.791585674
Gene_370,0.390821624
Gene_371,0.39043179
Gene_372,0.63298793
Gene_373,0.332306289
Gene_374,1.914529385
Gene_375,0.20873686
Gene_376,2.248529843
Gene_377,0.637732812
Gene_378,0.274713202
Gene_379,0.891510286
Gene_380,0.196722344
Gene_381,0.449158698
Gene_382,0.347293263
Gene_383,0.247513425
Gene_384,2.118520999
Gene_385,2.272373037
Gene_386,0.32703186
Gene_387,1.259458968
Gene_388,1.200949012
Gene_389,1.092752936
Gene_390,0.545051525
Gene_391,0.663399107
Gene_392,0.571211042
Gene_393,-0.718553343
Gene_394,-0.065313351
Gene_395,-1.19679717
Gene_396,0.576442304
Gene_397,0.431172428
Gene_398,0.699322306
Gene_399,-0.774789766
Gene_400,0.964488232
Gene_401,0.471313762
Gene_402,2.232957177
Gene_403,0.806049885
Gene_404,-0.597770752
Gene_405,-1.350257995
Gene_406,0.21815714
Gene_407,-1.029221894
Gene_408,-0.734515945
Gene_409,-0.965955821
Gene_410,-0.58112728
Gene_411,1.456204283
Gene_412,-0.967342114
Gene_413,-0.424686847
Gene_414,-1.430559725
Gene_415,-1.706406509
Gene_416,-0.279419513
Gene_417,0.207484391
Gene_418,-1.150354364
Gene_419,-1.519434652
Gene_420,-1.871332407
Gene_421,0.145438588
Gene_422,0.934939825
Gene_423,-1.428292224
Gene_424,-0.64775538
Gene_425,1.082273847
Gene_426,-0.213549528
Gene_427,-0.100386588
Gene_428,0.380305432
Gene_429,-0.443168082
Gene_430,-0.777703383
Gene_431,0.307338776
Gene_432,-1.38125471
Gene_433,-1.612214609
Gene_434,-0.692043368
Gene_435,0.712056804
Gene_436,1.162465681
Gene_437,-0.474906685
Gene_438,0.830291071
Gene_439,1.381703596
Gene_440,0.037752881
Gene_441,0.636424331
Gene_442,1.866561656
Gene_443,-0.704789106
Gene_444,-0.241627237
Gene_445,1.60051034
Gene_446,-0.940227928
Gene_447,0.155519939
Gene_448,-0.628284155
Gene_449,1.363705322
Gene_450,-1.184798462
Gene_451,-0.067143877
Gene_452,-1.046961849
Gene_453,-1.466557715
Gene_454,-1.898103166
Gene_455,-0.16466866
Gene_456,0.483651019
Gene_457,0.018320499
Gene_458,0.234608309
Gene_459,-0.434402988
Gene_460,0.98437864
Gene_461,0.727798883
Gene_462,0.125526368
Gene_463,0.20543562
Gene_464,-0.465777154
Gene_465,1.945427101
Gene_466,0.808209458
Gene_467,-0.102809125
Gene_468,-0.172625724
Gene_469,-0.38970438
Gene_470,-0.298670695
Gene_471,0.246399129
Gene_472,-1.706670966
Gene_473,-0.249107319
Gene_474,-0.131095174
Gene_475,-0.008311362
Gene_476,0.174612238
Gene_477,0.031881104
Gene_478,0.405099578
Gene_479,-0.134967555
Gene_480,0.988003401
Gene_481,0.657831155
Gene_482,2.245938009
Gene_483,0.701740041
Gene_484,-0.745165199
Gene_485,-0.156784406
Gene_486,-0.507307432
Gene_487,0.007965349
Gene_488,1.097863166
Gene_489,-0.323850938
Gene_490,-0.568514118
Gene_491,0.516287342
Gene_492,-0.815261271
Gene_493,-0.874326107
Gene_494,0.381974551
Gene_495,-1.791551283
Gene_496,-0.482721917
Gene_497,0.855836822
Gene_498,-1.833600862
Gene_499,-1.760857411
Gene_500,-1.433986785
Gene_501,-2.731171433
Gene_502,1.896665964
Gene_503,0.120484264
Gene_504,-0.670455573
Gene_505,-1.290154859
Gene_506,2.201214067
Gene_507,0.655018946
Gene_508,-0.128386535
Gene_509,1.219519173
Gene_510,0.388760026
Gene_511,-0.50197958
Gene_512,-0.606412341
Gene_513,-0.590399129
Gene_514,-1.016022959
Gene_515,1.111575442
Gene_516,-0.517981305
Gene_517,1.353184676
Gene_518,-0.828686224
Gene_519,-0.599019936
Gene_520,-0.452414438
Gene_521,-0.899076401
Gene_522,-0.586427598
Gene_523,0.550575803
Gene_524,1.201992947
Gene_525,0.29906581
Gene_526,-1.190682358
Gene_527,-0.59950282
Gene_528,-0.578620234
Gene_529,1.700505779
Gene_530,0.985555297
Gene_531,1.214210738
Gene_532,-0.708951197
Gene_533,-1.273452878
Gene_534,0.573377311
Gene_535,-0.460212403
Gene_536,0.291585798
Gene_537,0.41246819
Gene_538,-0.39511244
Gene_539,1.004110856
Gene_540,-1.460399559
Gene_541,0.109396471
Gene_542,0.678490153
Gene_543,1.702266373
Gene_544,0.134814402
Gene_545,1.257428777
Gene_546,1.191760121
Gene_547,2.336801519
Gene_548,0.323734693
Gene_549,2.052079518
Gene_550,0.810065126
Gene_551,-1.534137663
Gene_552,0.028735277
Gene_553,-0.91655156
Gene_554,1.530256696
Gene_555,0.168577485
Gene_556,-1.319554781
Gene_557,0.882771307
Gene_558,1.321549705
Gene_559,-0.403173665
Gene_560,-0.447040086
Gene_561,0.201667974
Gene_562,-1.810679517
Gene_563,0.709719571
Gene_564,1.691311662
Gene_565,-0.650693544
Gene_566,1.843059168
Gene_567,0.994824677
Gene_568,-0.077022862
Gene_569,0.634835773
Gene_570,1.597688589
Gene_571,0.141818145
Gene_572,0.39257134
Gene_573,-0.535477073
Gene_574,-0.119876429
Gene_575,0.700800093
Gene_576,-0.180351102
Gene_577,-0.503437763
Gene_578,1.150986528
Gene_579,0.482503446
Gene_580,-0.480113096
Gene_581,1.752802975
Gene_582,2.113616636
Gene_583,1.014600215
Gene_584,-1.194656643
Gene_585,0.407035212
Gene_586,0.588620439
Gene_587,-1.584962962
Gene_588,1.192069904
Gene_589,0.209159923
Gene_590,1.122574472
Gene_591,-0.305535049
Gene_592,0.484220686
Gene_593,0.531909874
Gene_594,0.188587764
Gene_595,0.491383298
Gene_596,-0.137107923
Gene_597,-1.183038427
Gene_598,-2.041687239
Gene_599,-0.617349164
Gene_600,0.790813583
Gene_601,-1.03884309
Gene_602,1.060805205
Gene_603,1.391185826
Gene_604,0.47271839
Gene_605,-0.16595596
Gene_606,1.024708251
Gene_607,1.157018146
Gene_608,-0.225107041
Gene_609,0.084812669
Gene_610,-0.813496151
Gene_611,0.286200637
Gene_612,-2.066957338
Gene_613,-0.292536235
Gene_614,-0.853226081
Gene_615,-0.088083089
Gene_616,-0.795204944
Gene_617,-1.913078007
Gene_618,-0.653890512
Gene_619,-0.475672763
Gene_620,1.065229715
Gene_621,-0.641073289
Gene_622,-0.847524676
Gene_623,-1.191892327
Gene_624,1.142549381
Gene_625,-0.223016495
Gene_626,0.272327535
Gene_627,-1.543785728
Gene_628,-1.754842195
Gene_629,-0.901875727
Gene_630,1.623223655
Gene_631,-1.091407544
Gene_632,-0.626116939
Gene_633,0.012912558
Gene_634,-0.625157525
Gene_635,0.4784639
Gene_636,-0.831078149
Gene_637,-1.101011726
Gene_638,2.717826377
Gene_639,-0.936760517
Gene_640,0.795161999
Gene_641,-0.942237574
Gene_642,-1.540947033
Gene_643,-0.090258961
Gene_644,-1.340904769
Gene_645,-0.393145371
Gene_646,-0.795845528
Gene_647,1.25185122
Gene_648,-1.541938839
Gene_649,0.675886242
Gene_650,0.285106109
Gene_651,-0.229084284
Gene_652,-0.758155502
Gene_653,0.172276851
Gene_654,0.22528672
Gene_655,0.393747858
Gene_656,-0.269134347
Gene_657,-1.145022923
Gene_658,0.878464223
Gene_659,-0.003442654
Gene_660,-0.612881862
Gene_661,-1.001598442
Gene_662,0.922467422
Gene_663,1.384358142
Gene_664,0.575338641
Gene_665,0.642449051
Gene_666,1.172383919
Gene_667,-0.361858293
Gene_668,2.134101027
Gene_669,-1.059569393
Gene_670,-0.243364224
Gene_671,-0.771557456
Gene_672,0.063588251
Gene_673,1.730912351
Gene_674,-0.238405143
Gene_675,0.421584723
Gene_676,-2.908142879
Gene_677,0.427690564
Gene_678,0.998471201
Gene_679,0.122941428
Gene_680,-1.066299543
Gene_681,-1.200465004
Gene_682,-0.554538123
Gene_683,-1.208838794
Gene_684,1.575995751
Gene_685,0.467500519
Gene_686,1.44468197
Gene_687,-0.289101148
Gene_688,-0.764512629
Gene_689,-0.702928569
Gene_690,-0.462203713
Gene_691,-0.494347046
Gene_692,1.221791757
Gene_693,0.913646268
Gene_694,0.270877593
Gene_695,-1.659737181
Gene_696,0.29505553
Gene_697,-0.31079655
Gene_698,1.406235104
Gene_699,0.895431946
Gene_700,0.142162801
Gene_701,-2.097694365
Gene_702,-0.136095547
Gene_703,-0.653304687
Gene_704,0.405340964
Gene_705,-1.142122152
Gene_706,0.262342479
Gene_707,-2.218162679
Gene_708,-1.385616091
Gene_709,-0.879854965
Gene_710,-0.546182806
Gene_711,0.388915859
Gene_712,-1.65505181
Gene_713,-0.641175831
Gene_714,-0.615739362
Gene_715,0.687998853
Gene_716,-0.191724924
Gene_717,-0.967376478
Gene_718,-1.078829882
Gene_719,-0.552778252
Gene_720,-1.648416857
Gene_721,1.625875155
Gene_722,-0.004358431
Gene_723,-0.913548084
Gene_724,-1.054464824
Gene_725,-1.207317959
Gene_726,0.371178154
Gene_727,-1.653377095
Gene_728,-0.177990645
Gene_729,0.573624787
Gene_730,-0.585958265
Gene_731,-1.011871067
Gene_732,0.837698373
Gene_733,-1.131934033
Gene_734,-0.27768842
Gene_735,0.115220273
Gene_736,-0.604129681
Gene_737,-1.198384793
Gene_738,-0.55850969
Gene_739,0.340325718
Gene_740,-0.728551026
Gene_741,0.45496228
Gene_742,-0.255228049
Gene_743,-0.605058614
Gene_744,-0.725419735
Gene_745,0.232065747
Gene_746,1.12694668
Gene_747,0.121844841
Gene_748,-0.964756515
Gene_749,1.093171742
Gene_750,-0.885234617
Gene_751,1.728919939
Gene_752,-0.160855467
Gene_753,-0.878417589
Gene_754,0.558753123
Gene_755,-0.311434456
Gene_756,0.442853408
Gene_757,0.092003039
Gene_758,-1.379175574
Gene_759,-0.07007371
Gene_760,0.501408422
Gene_761,0.112513547
Gene_762,1.255840346
Gene_763,0.311878085
Gene_764,-0.241905791
Gene_765,0.210254205
Gene_766,-0.492441571
Gene_767,0.360494957
Gene_768,0.359119313
Gene_769,-1.238761592
Gene_770,0.772596659
Gene_771,2.233469052
Gene_772,0.545999017
Gene_773,-2.030041833
Gene_774,-0.426784848
Gene_775,-1.279407597
Gene_776,-0.291797239
Gene_777,0.685945241
Gene_778,-0.718279421
Gene_779,1.884703485
Gene_780,-2.880723498
Gene_781,-0.248106604
Gene_782,0.379266212
Gene_783,-1.219440953
Gene_784,-1.087832131
Gene_785,0.756287877
Gene_786,1.928398579
Gene_787,2.046032519
Gene_788,-0.346583666
Gene_789,1.351332102
Gene_790,-0.068779071
Gene_791,0.916698107
Gene_792,-0.210646063
Gene_793,-1.13468451
Gene_794,1.601826821
Gene_795,1.862515537
Gene_796,-0.420790064
Gene_797,0.93662821
Gene_798,-0.145007394
Gene_799,2.180909799
Gene_800,-1.492909449
Gene_801,-0.178287226
Gene_802,-1.447256999
Gene_803,-1.586686092
Gene_804,-0.115892463
Gene_805,-0.450429675
Gene_806,-1.011310944
Gene_807,0.837192538
Gene_808,1.29874885
Gene_809,0.512868583
Gene_810,-1.876761984
Gene_811,0.339496497
Gene_812,0.329726628
Gene_813,-0.842245968
Gene_814,0.345855832
Gene_815,-0.506966255
Gene_816,-0.820337119
Gene_817,-1.182718491
Gene_818,0.834341765
Gene_819,1.293429762
Gene_820,-0.141322459
Gene_821,0.98471863
Gene_822,1.526475461
Gene_823,0.131306823
Gene_824,-0.077409839
Gene_825,0.469629519
Gene_826,-0.837750738
Gene_827,0.546885116
Gene_828,0.151095514
Gene_829,-1.306696181
Gene_830,-1.294991418
Gene_831,-0.985302357
Gene_832,0.512646787
Gene_833,-0.337346063
Gene_834,-0.025032824
Gene_835,1.366319146
Gene_836,0.442815474
Gene_837,-0.642511209
Gene_838,-0.987096496
Gene_839,0.305105753
Gene_840,-0.971069083
Gene_841,1.253027841
Gene_842,0.245773425
Gene_843,0.129173159
Gene_844,-0.954962598
Gene_845,0.619370843
Gene_846,1.128445198
Gene_847,-0.136271011
Gene_848,0.928226293
Gene_849,-0.404835748
Gene_850,-0.06228
Gene_851,2.086033118
Gene_852,-0.371480186
Gene_853,0.539684984
Gene_854,-0.389095255
Gene_855,0.280439871
Gene_856,0.696127886
Gene_857,-0.900829063
Gene_858,-0.705186618
Gene_859,0.567666818
Gene_860,0.161628106
Gene_861,1.172474884
Gene_862,0.269919186
Gene_863,1.860169371
Gene_864,0.696818423
Gene_865,1.878651002
Gene_866,1.689521334
Gene_867,-0.642002752
Gene_868,1.48039431
Gene_869,0.940269721
Gene_870,0.870309697
Gene_871,1.185010114
Gene_872,-0.309179951
Gene_873,0.328461894
Gene_874,-0.420547009
Gene_875,2.309845
Gene_876,-0.752849373
Gene_877,-1.278438781
Gene_878,-0.817535453
Gene_879,-0.054999698
Gene_880,-0.061803764
Gene_881,0.890153447
Gene_882,0.030994623
Gene_883,-0.494794221
Gene_884,0.48293713
Gene_885,1.164833981
Gene_886,0.207130798
Gene_887,0.86865428
Gene_888,0.08338141
Gene_889,-0.259824586
Gene_890,0.69834841
Gene_891,0.22863128
Gene_892,1.004419781
Gene_893,1.542217929
Gene_894,-0.113325988
Gene_895,0.646902213
Gene_896,1.068015047
Gene_897,0.41030071
Gene_898,0.51013503
Gene_899,0.143392449
Gene_900,0.2554233
Gene_901,0.521867716
Gene_902,-0.607785921
Gene_903,-1.698388633
Gene_904,-0.087713249
Gene_905,-0.169154865
Gene_906,1.62010715
Gene_907,0.29617569
Gene_908,0.562023815
Gene_909,-0.411559711
Gene_910,-0.595872613
Gene_911,-0.8346403
Gene_912,-1.260211084
Gene_913,0.726429455
Gene_914,0.306630762
Gene_915,1.477261106
Gene_916,0.549717254
Gene_917,0.242875826
Gene_918,-1.981372523
Gene_919,1.908309817
Gene_920,0.039164174
Gene_921,-2.083812614
Gene_922,0.225785185
Gene_923,-0.810900534
Gene_924,-0.846598696
Gene_925,0.266503175
Gene_926,-0.587472685
Gene_927,1.026688763
Gene_928,-0.115463052
Gene_929,0.399901705
Gene_930,0.566588706
Gene_931,0.25183477
Gene_932,0.214323114
Gene_933,0.141633028
Gene_934,1.493503288
Gene_935,0.843894552
Gene_936,-0.690818771
Gene_937,-1.111502811
Gene_938,-0.794012763
Gene_939,0.42781456
Gene_940,-1.104387136
Gene_941,-0.652796782
Gene_942,-1.343019269
Gene_943,0.931582413
Gene_944,0.662831927
Gene_945,0.878662768
Gene_946,-0.474793902
Gene_947,-1.758771681
Gene_948,-0.83485424
Gene_949,-1.347255532
Gene_950,-1.35778164
Gene_951,1.136941368
Gene_952,-0.2468753
Gene_953,0.289345404
Gene_954,1.103174473
Gene_955,-1.019532916
Gene_956,0.614244698
Gene_957,-1.452540123
Gene_958,0.252490721
Gene_959,1.067632024
Gene_960,-1.139318946
Gene_961,0.828554022
Gene_962,0.224851483
Gene_963,-0.454332061
Gene_964,-1.200474547
Gene_965,0.24180566
Gene_966,0.493840155
Gene_967,-0.317433073
Gene_968,-0.981000963
Gene_969,0.762463855
Gene_970,1.184547103
Gene_971,0.953648779
Gene_972,1.589066288
Gene_973,-0.651553128
Gene_974,-1.415199556
Gene_975,0.410607467
Gene_976,-0.402958735
Gene_977,0.987647808
Gene_978,-1.036978219
Gene_979,-0.963841877
Gene_980,0.068064218
Gene_981,0.174993515
Gene_982,0.67480746
Gene_983,-0.098363055
Gene_984,-1.917148754
Gene_985,3.451858475
Gene_986,0.033523674
Gene_987,2.888528139
Gene_988,-0.125945255
Gene_989,-1.052845365
Gene_990,-0.317329782
Gene_991,1.100507937
Gene_992,0.619259418
Gene_993,0.307611122
Gene_994,-0.061320995
Gene_995,0.129341927
Gene_996,-0.148963148
Gene_997,1.196832614
Gene_998,0.91595449
Gene_999,-0.942382129
Gene_1000,-1.47741366
Gene_1001,-1.226086609
Gene_1002,-0.356275231
Gene_1003,0.22114883
Gene_1004,-0.054875818
Gene_1005,0.630170765
Gene_1006,-0.014531721
Gene_1007,1.595707998
Gene_1008,0.508795631
Gene_1009,0.017958536
Gene_1010,-1.510805346
Gene_1011,0.350291045
Gene_1012,0.4991422
Gene_1013,-0.713643674
Gene_1014,-1.156231121
Gene_1015,1.094730023
Gene_1016,-0.968562392
Gene_1017,0.165568083
Gene_1018,0.029924252
Gene_1019,0.446574197
Gene_1020,-0.961239375
Gene_1021,-0.120533104
Gene_1022,-0.967433937
Gene_1023,0.074123562
Gene_1024,0.504071133
Gene_1025,0.895414862
Gene_1026,1.494806793
Gene_1027,-0.263577945
Gene_1028,-0.281249144
Gene_1029,1.272635862
Gene_1030,0.57510234
Gene_1031,1.237111835
Gene_1032,1.952518094
Gene_1033,-0.843613108
Gene_1034,0.809297189
Gene_1035,-0.599207967
Gene_1036,1.563470532
Gene_1037,-1.187771759
Gene_1038,0.917652315
Gene_1039,-0.553613689
Gene_1040,0.554423795
Gene_1041,1.26811486
Gene_1042,-0.644001157
Gene_1043,-1.468355411
Gene_1044,-0.258985112
Gene_1045,-0.387414622
Gene_1046,-1.284461566
Gene_1047,-2.009494888
Gene_1048,1.216661764
Gene_1049,1.49161636
Gene_1050,-0.601894995
Gene_1051,-0.292611811
Gene_1052,0.807774194
Gene_1053,0.823497318
Gene_1054,1.779121357
Gene_1055,0.621618646
Gene_1056,-1.025359364
Gene_1057,0.791076955
Gene_1058,-0.697810206
Gene_1059,-0.065607668
Gene_1060,1.112533815
Gene_1061,-0.905398979
Gene_1062,-0.073205343
Gene_1063,-1.225775498
Gene_1064,-0.988676151
Gene_1065,-0.546863376
Gene_1066,1.630215898
Gene_1067,0.033370453
Gene_1068,2.644083076
Gene_1069,0.954899485
Gene_1070,0.982077481
Gene_1071,-1.093917052
Gene_1072,-0.15349258
Gene_1073,-1.14300154
Gene_1074,-0.309821648
Gene_1075,-0.457014438
Gene_1076,-0.041906109
Gene_1077,0.825528834
Gene_1078,-0.261925634
Gene_1079,0.843533827
Gene_1080,-1.465908923
Gene_1081,0.448264005
Gene_1082,-0.435716974
Gene_1083,0.253484681
Gene_1084,0.862927639
Gene_1085,-1.441521523
Gene_1086,1.469090273
Gene_1087,-0.193648672
Gene_1088,1.861927663
Gene_1089,0.071012239
Gene_1090,1.320887932
Gene_1091,0.059753853
Gene_1092,0.267228597
Gene_1093,0.116223233
Gene_1094,-0.219527091
Gene_1095,-0.257346758
Gene_1096,0.225563637
Gene_1097,0.548343533
Gene_1098,0.23356761
Gene_1099,0.519177241
Gene_1100,-1.518128453
Gene_1101,0.903986445
Gene_1102,-0.742578824
Gene_1103,-1.647416742
Gene_1104,1.847524306
Gene_1105,1.410198591
Gene_1106,-0.010483308
Gene_1107,1.069629936
Gene_1108,-0.331226681
Gene_1109,-0.469405294
Gene_1110,-0.594323643
